Muni,Surname,Name,ID Number,Year,Age,Gender,Elderly,Disabled,Veteran,HasClaim,OldApplicant,Allocated,Valid,Score
GT423,Brown,Tshepo,6107152101503,1996,63,Male,0,0,1,0,1,1,1,2
DC42,Mbatha,Thabo,2606213629230,2019,98,Male,1,1,0,0,0,0,1,2
GT485,Nqini,Zintle,9903287971993,2013,26,Female,0,0,1,1,0,0,1,2
GT422,Hlongwane,Dean,7205256562996,2006,52,Female,0,0,0,0,0,0,1,0
EKU,Nkosi,Thulani,4408234723092,2021,80,Female,1,1,1,1,0,0,0,4
GT423,Mabuza,Nosipho,8404138484539,2017,41,Male,0,0,1,0,0,0,1,1
JHB,Gqiba,Sinethemba,4807069876935,2000,76,Male,1,0,1,0,0,0,1,2
GT422,Magwaza,Sibusiso,6506258322504,1997,59,Male,0,1,0,0,1,1,1,2
DC42,Mkhize,Bongi,4201078383420,2011,83,Male,1,1,1,1,0,1,1,4
GT422,Cele,Thulani,4007015074702,2004,84,Female,1,1,1,1,0,1,1,4
GT484,King,Lungile,2709121267569,2001,97,Female,1,0,0,0,0,1,1,1
GT423,Mahlangu,Zimasa,3112133124790,2002,93,Male,1,1,1,0,0,0,1,3
GT481,Mpofu,Mandla,3506189248286,2009,89,Female,1,0,0,0,0,1,1,1
DC48,Mbenenge,Vuyiswa,6602284648050,2022,59,Female,0,1,0,1,0,0,1,2
JHB,Mthimkulu,Brandon,9109152836505,2006,33,Male,0,0,0,1,0,0,1,1
GT485,Mdluli,Sello,8906122775445,2012,35,Female,0,0,0,1,0,1,1,1
GT421,Shabalala,Phumzile,4505094387549,2016,79,Female,1,0,1,0,0,1,1,2
GT423,Jikeka,Ashley,7310035197312,2016,51,Male,0,1,1,0,0,1,1,2
GT421,Gumede,Wayne,9505025205192,2020,29,Female,0,1,0,0,0,1,1,1
GT421,Hill,Ashley,9408223890538,2021,30,Male,0,1,0,1,0,1,1,2
DC48,Mthembu,Bhekumuzi,2605055309109,2010,98,Male,1,1,1,1,0,1,1,4
JHB,Mthethwa,Thamsanqa,8305272319744,2018,41,Male,0,1,1,0,0,1,1,2
GT422,Nkosi,Shaun,7606214079947,2019,48,Female,0,0,0,0,0,0,1,0
GT422,Wright,Nicole,9308154076996,2005,31,Male,0,1,1,1,0,1,1,3
GT422,Mahlangu,Noluthando,4905279853362,2003,75,Female,1,0,0,1,0,1,0,2
DC48,Qwabe,Gugu,4810249524697,2018,76,Female,1,0,0,0,0,1,1,1
GT481,Khawula,Vuyolwethu,7009157703655,2016,54,Male,0,1,0,0,0,1,1,1
GT423,Baloyi,Nosipho,5307259175317,2008,71,Female,1,1,0,0,0,0,1,2
GT423,Mahlangu,Buhle,5306062120063,2001,71,Male,1,0,0,0,0,0,1,1
EKU,Mitchell,Mfundo,8301098511190,2008,42,Male,0,1,1,1,0,1,1,3
EKU,Zikhali,Yamkela,5108131989825,2013,73,Female,1,1,0,1,0,1,1,3
GT485,Ward,Anathi,2709108191605,2020,97,Female,1,1,0,0,0,1,1,2
DC48,Qwabe,Lindiwe,7909084011696,2003,45,Female,0,1,1,1,0,1,1,3
GT484,Mdluli,Nompumelelo,9602105811715,2006,29,Female,0,1,0,0,0,1,1,1
GT481,Mabaso,Kevin,4908154568164,2010,75,Male,1,0,0,1,0,1,1,2
GT423,Mphahlele,Leigh,7702136712361,2021,48,Male,0,0,1,0,0,1,1,1
DC48,Young,Siphesihle,4809134972609,2018,76,Male,1,0,0,1,0,1,1,2
TSH,Murphy,Chad,7911078585083,1995,45,Female,0,1,1,0,1,1,1,3
GT484,Nkosi,Bongi,6502129080895,2009,60,Male,0,1,0,0,0,1,1,1
EKU,Zikhali,Lindiwe,8004149942550,2020,45,Female,0,1,0,0,0,1,1,1
GT485,Magwaza,Candice,9408227371199,1998,30,Female,0,0,0,0,1,1,1,1
GT481,Wright,Ayanda,7202122903564,2012,53,Male,0,1,1,1,0,0,1,3
DC48,Ngqola,Xolani,6512286513834,1997,59,Female,0,1,1,0,1,1,1,3
DC42,Gwala,Lindiwe,9201182773553,2009,33,Female,0,0,0,0,0,1,1,0
DC42,Khoza,Gugu,9811281835200,1996,26,Female,0,1,1,0,1,0,1,3
GT422,Khoza,Nomthandazo,9103246316010,2004,34,Female,0,0,0,1,0,1,1,1
GT481,White,Nomsa,8409184945999,1999,40,Male,0,0,0,0,1,1,1,1
GT484,Ngubane,Mandla,8105249641848,2007,43,Female,0,0,1,0,0,1,1,1
